#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
179.19 -23.54 561.6 -2.13 2.01 0.115 4.12 -0.704 -7.77 24 179.19 -23.54 C202006100429A SS-N
100.86 -2.63 52.3 -3.64 5.08 -1.44 1.02 -3.04 -1.44 23 100.86 -2.63 C202006100435A N-SS
346.69 -15.78 12.0 -6.26 -0.186 6.45 2.42 -2.38 -0.897 24 346.69 -15.78 C202006101958A N
346.69 -15.8 12.0 -1.19 0.097 1.09 0.385 -0.663 -0.157 24 346.69 -15.8 C202006102114A N
151.19 -3.78 14.3 -2.01 1.17 0.838 -0.533 0.434 0.915 23 151.19 -3.78 C202006110040A N
348.24 -6.77 12.0 -0.703 -3.2 3.9 -1.21 -0.606 5.35 23 348.24 -6.77 C202006120053A SS
216.88 -56.33 20.2 -0.63 3.68 -3.05 -0.025 -0.2 2.78 23 216.88 -56.33 C202006120100A SS
41.76 -42.89 12.0 -0.557 1.98 -1.42 0.163 0.577 4.89 24 41.76 -42.89 C202006120253A SS
167.66 -44.38 21.3 0.856 1.27 -2.13 0.093 -1.6 -0.802 23 167.66 -44.38 C202006120729A R-SS
186.35 -16.33 112.9 1.25 -3.49 2.24 -1.95 -2.94 -1.38 23 186.35 -16.33 C202006121909A R-SS
186.55 -21.14 14.4 2.43 -0.444 -1.99 0.746 0.584 -0.573 23 186.55 -21.14 C202006130607A R
117.91 -8.96 13.1 4.04 -1.88 -2.16 -2.78 -0.177 -2.44 23 117.91 -8.96 C202006130915A R-SS
181.75 51.17 35.6 3.48 -3.19 -0.288 2.11 1.82 -1.63 23 181.75 51.17 C202006131143A R
171.33 -22.3 107.7 1.8 -0.151 -1.65 1.01 1.76 2.62 23 171.33 -22.3 C202006131424A R-SS
128.38 28.79 170.9 -0.705 -0.06 0.765 -0.424 -0.787 -0.548 26 128.38 28.79 C202006131551A N-SS
69.05 -23.33 31.2 -3.15 1.01 2.14 -0.583 0.173 -0.712 24 69.05 -23.33 C202006131848A N
122.37 24.24 50.7 0.84 0.644 -1.48 0.691 0.094 -0.095 24 122.37 24.24 C202006132018A R-SS
145 18.89 593.4 -2.76 1.49 1.26 -0.398 0.315 -1.38 25 145.0 18.89 C202006132108A N
53.29 27.48 15.0 5.45 -5.46 0.009 2.61 -0.654 1.55 23 53.29 27.48 C202006132204A R
124.26 -9.16 42.0 -1.17 0.511 0.657 2.91 2.8 0.054 23 124.26 -9.16 C202006140335A N
128.17 2.8 134.1 2.72 0.672 -3.39 1 1.09 0.654 23 128.17 2.8 C202006141325A R-SS
40.68 39.33 12.0 0.945 0.813 -1.76 -0.774 0.78 -8.39 24 40.68 39.33 C202006141424A SS
69.53 -23.68 12.0 0.617 2.65 -3.27 -0.225 1.65 -1.18 23 69.53 -23.68 C202006141602A SS-N
123.29 24.77 12.0 -0.733 1.05 -0.319 -1.15 -0.318 1.66 23 123.29 24.77 C202006141728A SS-N
53.42 27.54 12.0 6.63 -6.38 -0.246 2.27 0.166 1.52 23 53.42 27.54 C202006141806A R
123.11 24.88 12.0 -2.6 2.68 -0.078 1.77 0.628 0.117 23 123.11 24.88 C202006141815A N
123.3 24.84 15.2 -1.86 3.49 -1.63 -3.26 1.8 8.06 22 123.3 24.84 C202006141837A SS-N
123.14 24.83 12.0 -5.77 5.93 -0.162 3.17 2.23 0.305 23 123.14 24.83 C202006141926A N
158.08 49.07 43.3 2.12 5.85 -7.97 -2.46 -0.23 -1.59 23 158.08 49.07 C202006142123A SS-R
212.34 -57.72 12.0 -0.419 3 -2.58 -0.556 -0.299 1.69 23 212.34 -57.72 C202006142214A SS
123.12 24.8 12.4 -2.28 2.21 0.067 0.598 0.604 -0.163 23 123.12 24.8 C202006142226A N
121.8 7.78 33.5 -0.079 5.05 -4.97 -0.846 1.2 -0.994 23 121.8 7.78 C202006142229A SS
123.21 24.77 12.1 -1.92 1.74 0.177 -0.052 -0.234 0.03 23 123.21 24.77 C202006150114A N
123.13 24.84 18.4 -1.69 1.48 0.207 0.781 0.249 -0.075 23 123.13 24.84 C202006150232A N
123.19 24.82 14.6 -3.2 3.15 0.048 0.927 0.474 0.018 23 123.19 24.82 C202006150301A N
155.95 -9.64 19.7 -2.41 -0.482 2.89 -5.3 3.52 5.12 23 155.95 -9.64 C202006150407B SS-N
156.05 -9.53 12.2 -3.02 1.8 1.22 -0.75 0.613 2.68 23 156.05 -9.53 C202006150409A N-SS
128.07 1.37 128.8 1 -0.344 -0.658 0.164 0.33 -0.631 24 128.07 1.37 C202006150415A R
40.68 39.33 17.0 0.18 -0.28 0.099 -0.382 0.342 -2.37 24 40.68 39.33 C202006150651A SS
123.19 24.92 19.3 -1.78 1.4 0.378 1.26 0.311 0.06 23 123.19 24.92 C202006150918A N
268.79 -41.19 12.0 -3.05 -0.043 3.09 0.7 -0.561 -0.203 23 268.79 -41.19 C202006151031A N
156.05 -9.56 12.0 -6.61 3.44 3.17 -2.62 0.663 5.04 23 156.05 -9.56 C202006151037A N
232.95 43.33 13.6 -0.559 -1.32 1.88 -0.08 -0.159 -1.5 23 232.95 43.33 C202006151113A SS
