#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
196.46 54.49 73.3 1.43 -1.85 0.418 -1.6 -0.675 -0.714 23 196.46 54.49 C202005091402A R
78.68 40.79 30.5 0.808 -1.36 0.549 0.522 0.605 0.152 24 78.68 40.79 C202005091535A R-SS
120.24 14.16 93.1 -0.266 0.275 -0.009 0.639 -0.869 0.052 24 120.24 14.16 C202005091918A N
164.92 -11.58 13.7 -2.97 1 1.96 -0.262 0.996 -1.54 23 164.92 -11.58 C202005092335A N
232.32 49.32 23.6 -0.643 -1.88 2.53 0.246 -0.137 -2.47 23 232.32 49.32 C202005100446A SS
315.84 27.38 12.0 -1.47 0.523 0.95 1.07 -1.35 0.404 23 315.84 27.38 C202005101258A N
291.89 -22.74 138.6 -0.831 0.325 0.506 0.627 -1.48 -0.625 24 291.89 -22.74 C202005101804A N
244.03 33.39 18.8 0.298 -1.65 1.36 -0.408 0.594 -0.054 23 244.03 33.39 C202005102207A SS-R
141.09 36.31 38.2 5.34 -0.222 -5.11 1.49 4.88 -2.36 24 141.09 36.31 C202005102358A R
129.81 -6.03 16.4 0.004 -4 4 0.039 0.691 -0.148 24 129.81 -6.03 C202005110106A SS
2.74 -54.06 18.1 -0.263 3.29 -3.02 -0.331 -0.348 0.39 23 2.74 -54.06 C202005120218A SS
178.22 -16.19 20.1 -2.28 0.149 2.13 -0.907 -0.357 1.21 23 178.22 -16.19 C202005121213A N
166.42 -12.14 126.3 8.82 -1.67 -7.15 -0.68 -2.12 2.23 25 166.42 -12.14 C202005122241A R
138.9 42.72 217.6 2.88 -2.91 0.032 0.063 -5.24 -2.15 23 138.9 42.72 C202005130556A R-SS
166.27 -10.46 16.8 -0.641 1.8 -1.16 1.17 1.89 -3.3 23 166.27 -10.46 C202005131320A SS-N
183.57 -20.77 256.2 -0.486 0.308 0.177 -0.429 -1.07 0.391 24 183.57 -20.77 C202005132010A N
247.88 -13.43 19.4 -1.23 1.29 -0.058 -0.276 0.109 3.54 23 247.88 -13.43 C202005132315A SS
158.33 51 38.7 1.42 -1.52 0.109 0.816 -0.213 -1.24 23 158.33 51.0 C202005140122A R-SS
257.2 -35.97 15.4 -0.358 -0.737 1.09 0.655 -0.949 -3.95 24 257.2 -35.97 C202005140555A SS
292.7 -24.25 197.2 -1.62 0.54 1.08 -0.708 -2.67 0.689 23 292.7 -24.25 C202005141716A N
182.51 -16.25 13.6 -0.041 -4.4 4.45 0.651 0.69 3.3 23 182.51 -16.25 C202005142029A SS
182.53 -16.24 16.3 0.111 -1.57 1.46 0.47 0.386 1.39 23 182.53 -16.24 C202005142038A SS
242.15 38.21 12.0 -1.35 -2.04 3.39 -1.53 0.201 5.46 25 242.15 38.21 C202005151103A SS
187.3 -15.56 19.4 5.46 0.156 -5.61 0.835 3.85 0.902 24 187.3 -15.56 C202005151449A R
187.26 -15.54 20.5 3.17 -0.051 -3.12 0.693 1.52 0.466 24 187.26 -15.54 C202005151505A R
184.01 -29.85 21.9 -6.38 1.54 4.84 -0.093 -1.97 1.52 23 184.01 -29.85 C202005151518A N
167.87 -16.16 182.1 0.214 -0.039 -0.175 -0.956 0.047 0.335 25 167.87 -16.16 C202005160315A R
242.33 38.24 20.5 -1.4 0.444 0.956 0.132 -0.205 0.69 23 242.33 38.24 C202005161150A N
186.19 -17.51 134.4 -0.354 0.22 0.134 0.105 1.46 -0.816 24 186.19 -17.51 C202005161311A N
190.52 52.08 22.0 2.22 -2.19 -0.033 1.41 0.566 -0.811 23 190.52 52.08 C202005161606A R
190.58 52.07 22.4 2.57 -2 -0.576 1.61 0.878 -1.13 23 190.58 52.07 C202005170526A R
230.1 -54.95 26.6 -0.648 2.12 -1.47 0.765 0.147 1.7 23 230.1 -54.95 C202005170604A SS
179.91 -25.49 477.2 0.333 -0.171 -0.163 0.425 -2.02 0.124 24 179.91 -25.49 B202005171907A R
283.59 19.76 20.5 1.1 -0.995 -0.104 1.21 0.145 0.48 23 283.59 19.76 C202005172047A R
20.06 67.95 12.3 0.889 0.039 -0.928 -0.613 -0.407 -0.151 23 20.06 67.95 C202005180111A R-SS
277.21 7.65 20.5 -0.161 -0.463 0.624 -0.055 0.19 1.49 23 277.21 7.65 C202005180201A SS
45.04 -40.31 23.5 -1.71 1.61 0.102 0.822 -0.162 0.759 23 45.04 -40.31 C202005180222A N
141.67 38.18 47.7 5.06 -0.602 -4.45 1.51 3.84 -1.46 23 141.67 38.18 C202005180300A R
25.61 34.11 14.4 6.15 -7.31 1.15 2.84 0.69 2.55 23 25.61 34.11 C202005180418A R
232.55 40.89 14.0 -3.36 0.217 3.14 -0.149 -1.25 -0.438 23 232.55 40.89 C202005180655A N
232.54 40.96 12.0 -1 0.012 0.991 0.058 -0.489 -0.09 24 232.54 40.96 C202005180702A N
25.52 34.09 19.6 0.961 -2.16 1.2 1.01 -0.437 1.87 23 25.52 34.09 C202005181148A SS
103.23 27.21 19.4 -2.02 2.01 0.016 -0.88 -0.618 -5.52 23 103.23 27.21 C202005181348A SS
137.64 36.35 12.0 0.08 -0.417 0.337 -0.321 0.026 -1.38 23 137.64 36.35 C202005181701A SS
25.59 34.1 19.3 2.13 -5.56 3.43 1.76 -0.347 2.67 24 25.59 34.1 C202005182322A SS
141.37 37.52 49.2 6.35 -1.07 -5.28 2.71 4.87 -2.33 23 141.37 37.52 C202005190317A R
137.59 36.32 12.0 0.541 -3.63 3.09 -2.53 -0.995 -7.81 23 137.59 36.32 C202005190413A SS
